corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
runs,semiconductor_work,one_shot,S03,field,0.625,0.25,0.75,0.5,0.5,0.0,0.25,1.0,0.4844,0.4107
runs,semiconductor_work,one_shot,S03,exact,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,0.1875,0.0714
runs,semiconductor_work,checklist,S03,document,1.0,0.25,1.0,0.5,1.0,1.0,1.0,1.0,0.8438,0.8214
runs,semiconductor_work,checklist,S03,field,0.75,0.0,0.75,0.25,0.5,0.0,0.5,1.0,0.4688,0.3929
runs,semiconductor_work,checklist,S03,exact,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.1562,0.0357
runs,semiconductor_work,update,S03,document,1.0,1.0,1.0,0.75,1.0,0.5,0.75,1.0,0.875,0.8571
runs,semiconductor_work,update,S03,field,1.0,1.0,1.0,0.75,1.0,0.0,0.75,1.0,0.8125,0.7857
runs,semiconductor_work,update,S03,exact,0.375,1.0,1.0,0.75,0.75,0.0,0.25,1.0,0.6406,0.5893
runs,semiconductor_work,one_shot,S04,document,0.875,0.6,1.0,0.75,0.8,0.5,0.5,1.0,0.7531,0.7179
runs,semiconductor_work,one_shot,S04,field,0.125,0.2,0.5,0.0,0.2,0.0,0.0,1.0,0.2531,0.1464
runs,semiconductor_work,one_shot,S04,exact,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.15,0.0286
runs,semiconductor_work,checklist,S04,document,0.875,0.4,1.0,0.75,0.6,0.5,0.25,1.0,0.6719,0.625
runs,semiconductor_work,checklist,S04,field,0.25,0.2,0.5,0.25,0.6,0.5,0.0,1.0,0.4125,0.3286
runs,semiconductor_work,checklist,S04,exact,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.175,0.0571
runs,semiconductor_work,update,S04,document,0.875,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.8906,0.875
runs,semiconductor_work,update,S04,field,0.75,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.8125,0.7857
