scenario_id,repeat,level,document_process,field_process,exact_process,document_legacy,field_legacy,exact_legacy,field_activities,field_actors,field_systems,field_inputs,field_outputs,field_decisions,field_exceptions,answer_words,unsure_answers,input_tokens,output_tokens,provenance_carried,provenance_lost,provenance_recovered,provenance_dropped,provenance_unsupported,provenance_missed
S03,1,L3p,0.9286,0.6607,0.2857,0.9375,0.7031,0.375,0.875,0.75,1.0,0.25,1.0,0.0,0.75,306,0,3041,5036,1,0,17,2,4,6
S03,1,L2,0.9643,0.8036,0.6071,0.9688,0.8281,0.6562,0.875,1.0,1.0,0.75,1.0,0.0,1.0,90,0,2781,4352,1,0,21,0,4,4
S03,1,L1,0.7857,0.6071,0.3929,0.8125,0.6562,0.4688,0.75,1.0,0.5,0.75,0.5,0.0,0.75,151,3,2847,4046,1,0,15,1,4,9
S03,1,L0,0.6071,0.2679,0.0893,0.6562,0.3594,0.2031,0.625,0.25,0.25,0.0,0.5,0.0,0.25,157,0,2880,4381,1,0,1,1,8,19
S03,2,L3,1.0,0.875,0.7679,1.0,0.8906,0.7969,0.875,1.0,1.0,0.75,1.0,0.5,1.0,294,0,3029,4890,1,0,26,0,0,3
S03,2,L3p,0.7857,0.3929,0.125,0.8125,0.4688,0.2344,0.75,0.0,0.5,0.25,0.75,0.0,0.5,284,0,3078,4627,1,0,11,3,2,13
S03,2,L2,0.9643,0.7321,0.6071,0.9688,0.7656,0.6562,0.875,1.0,1.0,0.5,0.75,0.0,1.0,91,0,2839,4268,1,0,21,0,2,6
S03,2,L1,0.8571,0.6071,0.4286,0.875,0.6562,0.5,0.75,1.0,0.5,0.5,0.75,0.0,0.75,159,3,2913,3765,1,0,15,2,4,8
S03,2,L0,0.8214,0.3393,0.1607,0.8438,0.4219,0.2656,0.625,0.25,0.25,0.5,0.25,0.0,0.5,152,0,2918,4430,1,0,2,1,9,17
S03,3,L3,0.7857,0.6429,0.5357,0.8125,0.6875,0.5938,0.75,1.0,1.0,0.5,0.75,0.0,0.5,258,0,2855,4448,1,0,20,1,0,8
S03,3,L3p,0.8571,0.5893,0.25,0.875,0.6406,0.3438,0.625,0.25,1.0,0.25,0.75,0.5,0.75,327,0,2999,4194,1,0,14,2,3,10
S03,3,L2,0.9286,0.6786,0.4643,0.9375,0.7188,0.5312,0.75,1.0,1.0,0.75,0.75,0.0,0.5,73,0,2693,4259,1,0,15,2,6,6
S03,3,L1,0.7679,0.5357,0.3214,0.7969,0.5938,0.4062,0.75,1.0,0.5,0.5,0.75,0.0,0.25,137,3,2755,3889,1,0,12,1,5,11
S03,3,L0,0.7857,0.3036,0.1071,0.8125,0.3906,0.2188,0.625,0.25,0.25,0.25,0.25,0.0,0.5,127,0,2768,3858,1,0,1,1,9,18
S03,4,L3,0.8929,0.75,0.5,0.9062,0.7812,0.5625,1.0,1.0,0.75,0.75,0.75,0.5,0.5,221,0,2865,4199,1,0,21,0,2,6
S03,4,L3p,0.75,0.4464,0.2143,0.7812,0.5156,0.3125,0.875,0.75,0.25,0.25,0.75,0.0,0.25,259,0,2981,4521,1,0,14,3,1,11
S03,4,L2,0.8214,0.6071,0.3036,0.8438,0.6562,0.3906,0.75,1.0,0.5,0.5,0.5,0.5,0.5,86,0,2758,3627,1,0,15,0,3,11
S03,4,L1,0.8571,0.5714,0.3214,0.875,0.625,0.4062,0.75,0.75,0.5,0.5,0.75,0.0,0.75,165,3,2859,4130,1,0,12,2,6,9
S03,4,L0,0.6786,0.3214,0.1071,0.7188,0.4062,0.2188,0.75,0.25,0.25,0.25,0.25,0.0,0.5,110,0,2806,3411,1,0,0,0,11,18
S03,5,L3,0.9643,0.8214,0.5714,0.9688,0.8438,0.625,0.75,1.0,1.0,0.5,1.0,0.5,1.0,231,0,2878,4482,1,0,21,1,3,4
S03,5,L3p,0.8571,0.5536,0.2679,0.875,0.6094,0.3594,0.875,0.25,0.75,0.5,0.75,0.0,0.75,292,0,3004,4599,1,0,13,5,5,6
S03,5,L2,0.8929,0.625,0.3929,0.9062,0.6719,0.4688,0.625,1.0,1.0,0.5,1.0,0.0,0.25,84,0,2752,3999,0,1,15,1,5,8
S03,5,L1,0.8929,0.5893,0.4107,0.9062,0.6406,0.4844,0.875,1.0,0.25,0.5,0.75,0.0,0.75,166,3,2887,3917,1,0,15,2,4,8
S03,5,L0,0.6964,0.2679,0.0357,0.7344,0.3594,0.1562,0.625,0.25,0.25,0.25,0.5,0.0,0.0,119,0,2807,3890,1,0,1,0,8,20
S04,1,L3,0.8571,0.775,0.5143,0.875,0.8031,0.575,0.625,1.0,1.0,0.5,0.8,1.0,0.5,285,0,3030,4960,1,1,21,1,2,6
S04,1,L3p,0.7857,0.55,0.2786,0.8125,0.6062,0.3688,0.5,1.0,0.5,0.25,0.6,0.5,0.5,317,0,3145,4533,1,1,15,4,2,9
S04,1,L2,0.5857,0.5393,0.325,0.6375,0.5969,0.4094,0.625,0.8,0.5,0.25,0.6,0.5,0.5,98,0,2851,4303,1,1,15,0,2,13
S04,1,L1,0.7393,0.4679,0.2893,0.7719,0.5344,0.3781,0.125,1.0,0.25,0.5,0.4,1.0,0.0,143,3,2918,4036,1,1,11,1,1,17
S04,1,L0,0.3786,0.1179,0.0643,0.4146,0.1865,0.1396,0.125,0.0,0.25,0.25,0.2,0.0,0.0,142,0,2925,4057,1,1,0,0,3,27
S04,2,L3,0.8036,0.65,0.4429,0.7865,0.6521,0.4708,0.75,1.0,0.25,1.0,0.8,0.5,0.25,260,0,3023,4106,1,1,20,2,1,7
S04,2,L3p,0.8107,0.6036,0.2429,0.8344,0.6531,0.3375,0.625,1.0,0.5,0.75,0.6,0.5,0.25,304,0,3145,4944,1,1,17,4,2,7
S04,2,L2,0.7857,0.65,0.3071,0.7708,0.6521,0.3521,0.75,1.0,0.75,0.5,0.8,0.5,0.25,103,0,2880,3989,1,1,16,1,5,8
S04,2,L1,0.7036,0.4214,0.3679,0.699,0.4521,0.4052,0.5,1.0,0.25,1.0,0.2,0.0,0.0,167,3,2967,3909,1,1,14,2,0,14
S04,2,L0,0.2643,0.1643,0.0286,0.3146,0.2271,0.1083,0.25,0.0,0.25,0.0,0.4,0.0,0.25,122,0,2929,3849,1,1,0,0,5,25
S04,3,L3,0.8929,0.7929,0.55,0.9062,0.8187,0.6062,1.0,1.0,0.75,1.0,0.8,0.5,0.5,257,0,2933,4222,1,1,25,1,1,3
S04,3,L3p,0.8357,0.6107,0.1679,0.8562,0.6594,0.2719,0.625,1.0,0.75,0.5,0.4,0.5,0.5,302,0,3041,4877,1,1,15,3,4,8
S04,3,L2,0.5857,0.3857,0.2429,0.6375,0.4625,0.3375,0.25,0.6,0.5,0.25,0.6,0.5,0.0,92,0,2776,3876,1,1,9,2,2,17
S04,3,L1,0.9179,0.6536,0.475,0.9281,0.6969,0.5406,0.625,0.6,1.0,1.0,0.6,0.5,0.25,161,3,2867,4249,1,1,17,3,3,7
S04,3,L0,0.2821,0.1179,0.0643,0.3302,0.1865,0.1396,0.125,0.0,0.5,0.0,0.2,0.0,0.0,129,0,2849,3821,1,1,0,0,3,27
S04,4,L3,0.8929,0.875,0.5857,0.9062,0.8906,0.6375,0.875,1.0,1.0,1.0,1.0,1.0,0.25,323,0,3162,4745,2,0,26,1,0,3
S04,4,L3p,0.875,0.575,0.2643,0.8906,0.6281,0.3563,0.625,0.6,0.75,0.75,0.8,0.5,0.0,341,0,3240,4926,1,1,16,4,2,8
S04,4,L2,0.5393,0.4571,0.4036,0.5552,0.4833,0.4365,0.75,0.8,0.75,0.5,0.4,0.0,0.0,111,0,2949,3613,1,1,15,0,1,14
S04,4,L1,0.7071,0.5179,0.3214,0.7438,0.5781,0.4062,0.375,0.6,0.5,0.75,0.4,0.5,0.5,159,3,3015,4253,1,1,14,2,1,13
S04,4,L0,0.3107,0.1107,0.0286,0.3552,0.1802,0.1083,0.125,0.0,0.25,0.0,0.4,0.0,0.0,113,0,2975,3477,1,1,0,1,3,26
S04,5,L3,0.8571,0.7214,0.5143,0.875,0.7562,0.575,0.75,1.0,1.0,0.75,0.8,0.5,0.25,275,0,2963,4599,1,1,21,2,2,5
S04,5,L3p,0.8393,0.6464,0.3429,0.8594,0.6906,0.425,0.625,0.8,1.0,0.75,0.6,0.5,0.25,310,0,3079,4605,1,1,18,4,2,6
S04,5,L2,0.65,0.4679,0.3607,0.6937,0.5344,0.4406,0.375,1.0,0.75,0.5,0.4,0.0,0.25,108,0,2809,3696,1,1,11,2,4,13
S04,5,L1,0.7571,0.6107,0.325,0.7875,0.6594,0.4094,0.375,1.0,0.5,1.0,0.4,1.0,0.0,155,3,2879,4100,1,1,16,1,1,12
S04,5,L0,0.3,0.1357,0.0643,0.3458,0.2021,0.1396,0.25,0.0,0.5,0.0,0.2,0.0,0.0,140,0,2873,3970,0,2,0,0,5,25
S05,1,L3,0.8929,0.8724,0.6173,0.9062,0.8884,0.6652,0.8571,1.0,1.0,1.0,0.75,1.0,0.5,288,0,2836,4688,2,0,22,2,1,2
S05,1,L3p,0.7857,0.6378,0.25,0.8125,0.683,0.3438,0.7143,1.0,0.5,1.0,0.25,0.5,0.5,291,0,2882,4354,2,0,16,4,1,6
S05,1,L2,0.8929,0.801,0.4133,0.9062,0.8259,0.4866,0.8571,0.75,1.0,1.0,0.5,1.0,0.5,91,0,2635,3906,2,0,19,1,2,5
S05,1,L1,0.6786,0.4745,0.2551,0.7188,0.5402,0.3482,0.5714,0.0,0.5,1.0,0.5,0.5,0.25,138,3,2683,2833,2,0,11,5,1,10
S05,1,L0,0.5051,0.3776,0.1071,0.567,0.4554,0.2188,0.1429,0.25,0.75,0.75,0.0,0.5,0.25,125,0,2683,3625,2,0,1,0,7,19
S05,2,L3,0.9286,0.8163,0.4643,0.9375,0.8393,0.5312,0.7143,0.75,1.0,1.0,0.75,1.0,0.5,250,0,2903,4230,2,0,20,2,1,4
S05,2,L3p,0.8367,0.7245,0.1786,0.8571,0.7589,0.2812,0.5714,0.75,0.75,1.0,0.5,1.0,0.5,272,0,2991,4385,2,0,15,1,3,8
S05,2,L2,0.8724,0.7398,0.3214,0.8884,0.7723,0.4062,0.4286,0.75,1.0,1.0,0.5,1.0,0.5,55,0,2725,4036,2,0,14,0,4,9
S05,2,L1,0.5612,0.4184,0.2704,0.6161,0.4911,0.3616,0.4286,0.5,0.5,1.0,0.25,0.0,0.25,126,3,2801,3922,1,1,10,0,2,15
S05,2,L0,0.6224,0.3418,0.1429,0.6696,0.4241,0.25,0.1429,0.5,0.5,1.0,0.25,0.0,0.0,112,0,2804,3684,1,1,0,0,9,18
S05,3,L3,0.8929,0.801,0.4643,0.9062,0.8259,0.5312,0.8571,0.75,0.75,1.0,0.75,1.0,0.5,276,0,2874,4255,2,0,19,2,2,4
S05,3,L3p,0.801,0.6122,0.1786,0.8259,0.6607,0.2812,0.2857,0.5,0.75,0.75,0.5,1.0,0.5,337,0,2996,4350,2,0,13,5,1,8
