scenario_id,repeat,level,document_process,field_process,exact_process,document_legacy,field_legacy,exact_legacy,field_activities,field_actors,field_systems,field_inputs,field_outputs,field_decisions,field_exceptions,answer_words,unsure_answers,input_tokens,output_tokens,provenance_carried,provenance_lost,provenance_recovered,provenance_dropped,provenance_unsupported,provenance_missed
S06,5,L3p,0.7286,0.5367,0.2429,0.7625,0.5946,0.3375,0.8571,0.4,1.0,0.25,0.5,0.5,0.25,227,0,2883,4259,4,1,10,3,3,9
S06,5,L2,0.7143,0.6173,0.4133,0.75,0.6652,0.4866,0.5714,1.0,1.0,0.75,0.5,0.5,0.0,67,0,2687,3312,4,1,10,0,5,10
S06,5,L1,0.6582,0.5663,0.3061,0.7009,0.6205,0.3929,0.7143,1.0,0.5,0.75,0.5,0.5,0.0,131,3,2762,3675,4,1,10,2,4,9
S06,5,L0,0.6286,0.4806,0.1286,0.675,0.5455,0.2375,0.7143,0.4,0.5,0.5,0.5,0.5,0.25,137,0,2787,3681,5,0,4,0,6,15
S07,1,L3,0.7296,0.6582,0.4388,0.7217,0.6592,0.4673,0.8571,0.75,0.5,0.75,0.75,0.5,0.5,245,0,2853,3707,1,0,18,0,1,9
S07,1,L3p,0.7296,0.4439,0.1276,0.7634,0.5134,0.2366,0.8571,0.5,0.5,0.25,0.5,0.0,0.5,227,0,2870,3573,1,0,12,0,2,14
S07,1,L2,0.801,0.6735,0.1633,0.7842,0.6726,0.2262,0.7143,1.0,0.75,0.75,0.5,0.5,0.5,52,0,2642,3114,1,0,14,0,5,9
S07,1,L1,0.7806,0.5255,0.2398,0.7664,0.5432,0.2932,0.4286,0.5,0.5,0.75,0.75,0.5,0.25,148,3,2763,3313,1,0,11,1,3,13
S07,1,L0,0.5867,0.4031,0.1276,0.6384,0.4777,0.2366,0.5714,0.25,0.75,0.5,0.5,0.0,0.25,126,0,2750,3252,1,0,0,0,12,16
S07,2,L3,0.7449,0.7449,0.3827,0.7351,0.7351,0.4182,0.7143,1.0,0.5,1.0,0.75,0.5,0.75,263,0,2794,3860,1,0,19,1,2,6
S07,2,L3p,0.801,0.6378,0.1633,0.8259,0.683,0.2679,0.7143,0.5,0.5,0.75,0.75,0.5,0.75,288,0,2883,3778,1,0,12,0,6,10
